state,company,model,year,original_price,accident_score,repair_cost,km_driven,fuel_type,resale_price
Haryana,Maruti Suzuki,Dzire,2012,739000,2,4500,198061,Petrol,295000
Assam,Maruti Suzuki,Swift,2018,641000,1,4600,162815,Petrol,378000
Lakshadweep,Kia,Seltos,2014,1576000,1,1300,217187,Diesel,477000
Jharkhand,Mahindra,Scorpio-N,2016,1673000,6,140200,30353,Diesel,637000
Chandigarh,Skoda,Kushaq,2016,1713000,9,253700,25656,Diesel,339000
Chhattisgarh,Maruti Suzuki,Baleno,2011,920000,4,11600,229216,Petrol,255000
Telangana,Tata,Harrier,2020,1913000,2,5000,74986,Petrol,1285000
Meghalaya,Tata,Safari,2020,2120000,9,215100,185397,Diesel,543000
Bihar,Mahindra,Thar,2016,1746000,2,1700,75186,Diesel,866000
Delhi,Kia,Carens,2014,1383000,4,41800,41603,Diesel,558000
West Bengal,MG,Astor,2012,1342000,8,73800,138569,Petrol,139000
Jharkhand,Tata,Safari,2016,2264000,10,345400,105039,Diesel,413000
Andhra Pradesh,Hyundai,Venue,2015,1189000,5,33500,34242,Petrol,543000
Mizoram,Skoda,Kushaq,2011,1503000,5,46900,233201,Petrol,145000
Karnataka,Skoda,Octavia,2019,3377000,8,55100,89975,Petrol,1465000
Punjab,Mahindra,Thar,2019,1476000,2,4000,25645,Petrol,1064000
Lakshadweep,Tata,Tiago,2018,681000,5,39600,48287,Petrol,369000
Lakshadweep,Mahindra,Scorpio-N,2020,1842000,6,164800,175361,Diesel,637000
Manipur,Hyundai,Venue,2018,942000,10,215500,65323,Petrol,309000
Bihar,Mahindra,Thar,2023,1795000,2,4200,91619,Petrol,1380000
Delhi,Mahindra,XUV700,2019,2241000,8,113700,156050,Diesel,734000
Madhya Pradesh,Hyundai,i20,2015,943000,7,172400,116038,Petrol,281000
Gujarat,Maruti Suzuki,Ertiga,2022,1175000,2,2000,230882,Petrol,638000
Andaman and Nicobar Islands,Tata,Safari,2017,1991000,2,3600,70485,Petrol,1094000
Lakshadweep,Maruti Suzuki,Swift,2023,790000,3,31600,66965,Petrol,626000
Uttar Pradesh,Maruti Suzuki,Baleno,2016,819000,8,124800,74521,Petrol,344000
Puducherry,Volkswagen,Taigun,2013,1360000,10,485700,20331,Petrol,139000
Bihar,Maruti Suzuki,Ertiga,2023,1101000,3,8700,144231,Petrol,792000
Chhattisgarh,MG,Hector,2013,2000000,2,4700,110847,Petrol,659000
Assam,MG,Hector,2019,1854000,9,265900,153170,Diesel,295000
Rajasthan,Mahindra,Scorpio-N,2020,1841000,5,35000,174214,Diesel,809000
Chhattisgarh,Maruti Suzuki,Ertiga,2019,1140000,2,4400,31209,Petrol,852000
Himachal Pradesh,Toyota,Fortuner,2015,4455000,3,33700,79707,Diesel,2597000
Ladakh,Maruti Suzuki,Dzire,2011,904000,3,22300,235195,Petrol,275000
Puducherry,Tata,Harrier,2013,1869000,6,103400,193117,Diesel,229000
Mizoram,Maruti Suzuki,Swift,2023,728000,1,0,77530,Petrol,635000
Mizoram,Tata,Safari,2016,2234000,1,900,152038,Petrol,1053000
Jharkhand,Skoda,Kushaq,2019,1651000,3,33200,149841,Petrol,708000
Telangana,Maruti Suzuki,Dzire,2013,730000,2,2900,179832,Diesel,287000
Jharkhand,Mahindra,XUV700,2022,2400000,7,56500,51413,Petrol,1635000
Sikkim,Kia,Carens,2022,1553000,5,15400,70055,Petrol,1080000
Assam,Volkswagen,Taigun,2017,1365000,5,19900,96660,Petrol,534000
Madhya Pradesh,Kia,Sonet,2011,1120000,5,28000,207722,Diesel,183000
Lakshadweep,Toyota,Fortuner,2014,3538000,10,239200,51810,Petrol,1380000
West Bengal,Toyota,Urban Cruiser Hyryder,2016,1737000,9,160600,163914,Diesel,526000
Madhya Pradesh,Honda,City,2010,1488000,9,460100,141293,Petrol,147000
Chhattisgarh,Toyota,Urban Cruiser Hyryder,2023,1511000,5,38200,37669,Diesel,1222000
Rajasthan,Kia,Carens,2012,1314000,7,149400,55289,Petrol,358000
Punjab,Kia,Carens,2014,1540000,4,33200,80212,Diesel,611000
Andaman and Nicobar Islands,Mahindra,Bolero,2022,1088000,3,48200,197927,Petrol,570000
Sikkim,Hyundai,Creta,2013,1578000,4,14700,216435,Petrol,402000
Dadra and Nagar Haveli and Daman and Diu,MG,Hector,2020,1875000,4,30200,155908,Diesel,741000
Jharkhand,Maruti Suzuki,Swift,2013,758000,9,343600,51107,Petrol,109000
Haryana,Volkswagen,Taigun,2020,1636000,9,412200,144233,Diesel,348000
Andaman and Nicobar Islands,MG,Astor,2018,1539000,3,36100,121893,Diesel,566000
Meghalaya,Honda,Elevate,2013,1493000,8,70300,76984,Diesel,405000
Sikkim,Toyota,Urban Cruiser Hyryder,2012,1399000,7,90100,65623,Petrol,576000
Uttarakhand,Toyota,Urban Cruiser Hyryder,2010,1584000,7,152100,59220,Petrol,601000
Tripura,Volkswagen,Taigun,2014,1699000,7,159800,202518,Petrol,170000
Nagaland,Kia,Sonet,2015,1030000,7,93300,180341,Diesel,204000
